product_code,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
3155251205296,0.0,High,Low Sugar,Yes
6111251753912,0.264367816091954,Low,Low Sugar,Yes
6111248360130,0.0,Low,Low Sugar,Yes
6111003031107,0.2666666666666666,Moderate,Low Sugar,No
3229820100234,0.4153846153846154,High,High Sugar,Yes
6111184001074,0.984126984126984,Moderate,High Sugar,Yes
20022464,0.8125,Moderate,Moderate Sugar,Yes
5449000206770,0.0,Moderate,Low Sugar,Yes
6111184001197,0.0,High,Low Sugar,Yes
3760020507350,0.425,High,Moderate Sugar,No
5449000036872,0.95,Low,Moderate Sugar,Yes
6111242100220,0.8750000000000001,Low,Low Sugar,No
8715035110106,0.1999999999999999,Low,Low Sugar,No
3329770077003,1.0,Low,Low Sugar,No
5013665100065,0.0,Low,Low Sugar,No
6111184000619,0.2272727272727273,High,Low Sugar,Yes
6923818812082,0.4,Low,Low Sugar,Yes
3760049798609,0.1135135135135135,Moderate,Low Sugar,Yes
6111099000599,0.0,High,Low Sugar,No
8052575090254,0.9444444444444444,High,High Sugar,Yes
5025125000129,0.055045871559633,Moderate,Low Sugar,No
7300400481588,0.0434782608695652,High,Low Sugar,No
7311070032611,0.0161764705882352,High,Low Sugar,Yes
3029330022428,0.0904761904761904,Moderate,Low Sugar,Yes
3362600011006,0.3169230769230769,High,High Sugar,Yes
6111162000716,0.7422802850356295,Moderate,High Sugar,No
8076809513753,0.4545454545454545,High,Moderate Sugar,Yes
5411188110835,1.0,Low,Low Sugar,Yes
3168930010265,0.2105263157894736,High,Moderate Sugar,Yes
6111259341197,0.3857142857142857,High,High Sugar,Yes
16256163,0.9833333333333332,High,High Sugar,Yes
6111184007618,0.7655502392344498,High,High Sugar,Yes
50457236,0.9714285714285714,Low,Low Sugar,No
5410041001204,0.1059701492537313,High,Moderate Sugar,Yes
6111251420135,0.271523178807947,Low,Low Sugar,No
6111180000392,0.9159836065573772,High,High Sugar,No
3017620429484,0.9791304347826086,High,High Sugar,Yes
6111031005552,0.7090909090909091,High,High Sugar,Yes
8000500310427,0.559375,High,High Sugar,Yes
6111032001010,0.6428571428571429,Low,Moderate Sugar,Yes
6111099005396,0.0,High,Low Sugar,Yes
16256866,0.9682539682539684,High,High Sugar,Yes
6111206000733,0.0,Moderate,Low Sugar,Yes
6111184000213,0.8264462809917356,Moderate,High Sugar,Yes
8002270014901,0.0,Low,Low Sugar,No
59032823,0.9791304347826086,High,High Sugar,Yes
6111018501480,1.0,Low,Low Sugar,Yes
3155250358788,0.0,High,Low Sugar,Yes
50160884,0.1298701298701298,Moderate,Low Sugar,No
6111259340992,0.0,High,Low Sugar,Yes
6111242100930,0.9941089837997056,Low,Moderate Sugar,Yes
3068320123264,0.0,Low,Low Sugar,Yes
6111242102781,0.6293706293706294,Moderate,Moderate Sugar,No
4056489148739,0.9482758620689656,Moderate,Moderate Sugar,No
6111242103702,0.5590062111801242,Moderate,Moderate Sugar,No
6175700,0.0346666666666666,High,Low Sugar,No
5010265002911,0.0422535211267605,Low,Low Sugar,No
6111032008453,0.6991869918699186,Moderate,Moderate Sugar,Yes
5449000131805,0.271523178807947,Low,Low Sugar,Yes
3608580124047,0.75,High,Moderate Sugar,Yes
6111214004747,0.0424164524421593,High,Low Sugar,No
3175681851849,0.1774193548387097,High,Moderate Sugar,Yes
54491472,1.0,Low,Moderate Sugar,Yes
3451790988677,1.0,High,Low Sugar,No
5010029000801,0.0608695652173913,High,Low Sugar,No
6111242101050,0.0,Low,Low Sugar,Yes
20003166,0.0127659574468085,Moderate,Low Sugar,No
5013665112273,0.4285714285714286,Low,Low Sugar,No
6111250012416,0.0,Low,Low Sugar,No
5411188115366,0.5,Low,Low Sugar,Yes
10596975,0.2622950819672131,Moderate,Low Sugar,Yes
6111252860077,1.0,High,High Sugar,Yes
6111245591063,0.271523178807947,Moderate,Low Sugar,Yes
6111242100817,0.0,Low,Low Sugar,Yes
20095291,0.85,Low,Low Sugar,Yes
3229820019307,0.0293103448275862,High,Low Sugar,No
5034467000216,0.0909090909090909,Moderate,Low Sugar,No
80176800,0.976744186046512,High,High Sugar,Yes
6111126003821,0.0,Low,Low Sugar,No
6111035003509,0.0,Low,Low Sugar,No
3480341000674,0.6444444444444444,Low,Low Sugar,No
6111203001474,0.0,High,Low Sugar,Yes
8410076801180,0.4183333333333333,Moderate,Moderate Sugar,Yes
4008400401621,0.9767441860465116,Low,Moderate Sugar,Yes
6111032000631,0.3178807947019867,Low,Low Sugar,Yes
80052760,0.8323232323232324,High,High Sugar,Yes
6111242102002,0.46875,Moderate,Moderate Sugar,Yes
3251490332080,0.2962962962962963,High,High Sugar,Yes
3175680015228,0.0999999999999999,High,Low Sugar,No
3229820160672,0.2258064516129032,High,Moderate Sugar,Yes
5449000133328,0.0,Low,Low Sugar,Yes
5449000131836,0.0,Low,Low Sugar,Yes
3760049790214,0.1340425531914893,Moderate,Moderate Sugar,Yes
20006105,0.1026315789473684,Moderate,Low Sugar,Yes
3046920028721,0.0444444444444444,Moderate,Low Sugar,No
5010003064744,0.0918918918918918,Moderate,Low Sugar,Yes
3019081238643,0.0,Moderate,Low Sugar,No
5449000000439,1.0,Low,Moderate Sugar,Yes
6111024001516,0.0,High,Low Sugar,Yes
7613035040823,0.9151873767258382,High,High Sugar,Yes
6111259342828,0.255,High,High Sugar,Yes
3257971309114,0.0,Low,Low Sugar,No
7322540548563,0.271523178807947,Moderate,Low Sugar,Yes
7640154260283,0.271523178807947,Moderate,Low Sugar,Yes
3256540000698,0.2,High,Moderate Sugar,Yes
8000500179864,0.9842657342657342,High,High Sugar,Yes
3045140105502,0.9649122807017544,High,High Sugar,Yes
50457250,0.9827586206896552,Moderate,High Sugar,No
6111184001203,0.2743988684582744,Moderate,Low Sugar,Yes
5020364010113,0.1047619047619047,Moderate,Low Sugar,No
42105220,1.0,Low,Moderate Sugar,Yes
5036589252450,1.0,Low,Moderate Sugar,No
3033710073467,1.0,Moderate,Moderate Sugar,Yes
3284230006408,0.25,High,Moderate Sugar,Yes
6111242103528,0.1038961038961039,Low,Low Sugar,Yes
7622201693916,1.0,Moderate,Low Sugar,Yes
6111242105331,1.0,High,Low Sugar,Yes
6111035502941,0.0,Low,Low Sugar,No
3225350000501,0.5,Low,Low Sugar,No
87157215,0.9827586206896552,Moderate,High Sugar,No
40896243,0.7999999999999999,Low,Low Sugar,Yes
50457243,0.9714285714285742,Moderate,High Sugar,No
8722700479475,0.9285714285714288,High,Low Sugar,Yes
6111259343344,0.5165562913907285,High,High Sugar,Yes
10614594,0.3754512635379061,Moderate,Moderate Sugar,Yes
8719200237902,1.0,High,Low Sugar,Yes
8076809523547,0.65,High,Moderate Sugar,Yes
3088543506255,0.9813664596273292,High,High Sugar,No
3480341000636,1.0,Moderate,Low Sugar,No
8718114724485,0.9285714285714284,Moderate,Low Sugar,Yes
6111250474405,0.981132075471698,High,High Sugar,Yes
6111242102767,1.0,Moderate,Moderate Sugar,Yes
5411188103387,0.8928571428571428,Low,Moderate Sugar,Yes
3760091727732,0.4461538461538461,High,Moderate Sugar,No
5010029000023,0.0608695652173913,High,Low Sugar,No
4056489346357,0.0,Low,Low Sugar,Yes
5201054017432,1.0,Low,Low Sugar,No
4088600247519,0.0653846153846153,Moderate,Low Sugar,No
5057967395088,0.0545454545454545,Moderate,Low Sugar,No
90382383,0.7777777777777778,Low,Moderate Sugar,Yes
6111246953679,0.6622516556291391,Moderate,Moderate Sugar,No
3587220002252,0.2653061224489796,High,Moderate Sugar,Yes
3046920029780,0.8787878787878788,High,High Sugar,Yes
6111250472241,0.9846153846153848,Moderate,High Sugar,Yes
6111260230619,0.0,Moderate,Low Sugar,Yes
6111246651261,0.271523178807947,Moderate,Low Sugar,Yes
3366321052386,0.0,High,Low Sugar,Yes
5053990101597,0.0759259259259259,High,Low Sugar,Yes
6111184003276,0.0,Low,Low Sugar,Yes
3229820129488,0.2372881355932203,High,Moderate Sugar,No
7613039490266,0.9518377693282636,High,High Sugar,Yes
3033710084913,0.5384615384615384,Low,Low Sugar,Yes
3327272107969,0.4769230769230769,High,Moderate Sugar,No
6111246250013,0.0,Low,Low Sugar,Yes
3088542500285,0.8742004264392322,Low,Low Sugar,No
3760049791006,0.0604651162790697,Moderate,Low Sugar,Yes
4008400404127,0.9791304347826086,High,High Sugar,Yes
6111242101272,1.0,Moderate,High Sugar,Yes
8410510012196,0.7142857142857143,Low,Low Sugar,Yes
4056489007180,0.1162790697674418,Moderate,Moderate Sugar,Yes
4088600246291,0.0116279069767441,Moderate,Low Sugar,No
7622210601988,0.4516129032258064,High,High Sugar,Yes
5410126006957,0.6456140350877192,High,High Sugar,Yes
6111242104198,0.4230769230769231,Low,Moderate Sugar,Yes
6111021090049,0.379746835443038,Moderate,Moderate Sugar,No
6111251753899,0.264367816091954,Low,Low Sugar,Yes
3041090063206,0.1053333333333333,High,Moderate Sugar,Yes
20815394,0.8814814814814815,High,High Sugar,No
5010477348678,0.2833333333333333,High,High Sugar,No
6111250470209,0.0,Low,Low Sugar,Yes
5011273040698,0.9914110429447852,High,High Sugar,No
6111035001024,0.271523178807947,Moderate,Low Sugar,No
5059697731860,0.7999999999999999,Low,Low Sugar,Yes
4016241030573,1.0,Low,Low Sugar,No
5017764128104,0.001763668430335,High,Low Sugar,No
8198701234564,0.4516129032258064,High,Moderate Sugar,Yes
5053990101573,0.0163636363636363,High,Low Sugar,Yes
8719200269743,1.0,High,Low Sugar,Yes
7300400481571,0.032258064516129,High,Low Sugar,No
7613035676497,1.0,Moderate,Moderate Sugar,Yes
20047559,1.0,Moderate,Low Sugar,No
3362600001106,0.3174603174603174,High,High Sugar,Yes
3041090063114,0.1012820512820512,High,Moderate Sugar,Yes
3175681851856,0.25,High,High Sugar,Yes
5000157076410,0.9677419354838708,High,Low Sugar,No
6111266962446,1.3245033112582782,Moderate,High Sugar,Yes
6111180003102,0.0,High,Low Sugar,No
7613287431943,0.9615384615384616,High,High Sugar,Yes
3229820794525,0.2786885245901639,High,High Sugar,Yes
5053990156009,0.0249999999999999,High,Low Sugar,Yes
3061990143365,0.4347826086956521,Low,Moderate Sugar,Yes
5025125000150,0.0690537084398977,Moderate,Low Sugar,No
5013665112235,0.1428571428571428,Low,Low Sugar,Yes
3045320094008,1.0,Moderate,High Sugar,Yes
5000168036755,0.2374213836477987,High,High Sugar,Yes
6111206000696,1.0,Moderate,Moderate Sugar,Yes
3228857001231,0.2653061224489796,High,Moderate Sugar,Yes
5000108022152,0.0158730158730158,Moderate,Low Sugar,No
8720182556738,0.7692307692307692,Moderate,Low Sugar,No
6153153,0.0075949367088607,High,Low Sugar,No
8410076610737,0.6272727272727273,Moderate,Moderate Sugar,Yes
5013665108801,0.5135135135135135,Moderate,Low Sugar,No
6111246950845,0.2649006622516556,Low,Low Sugar,Yes
20202392,1.0,Moderate,Low Sugar,No
3412290070101,1.0,Moderate,Low Sugar,No
6111162001201,0.0,Low,Low Sugar,Yes
6111250473453,8.2,Low,Low Sugar,Yes
5013665111610,0.0169491525423728,Low,Low Sugar,No
6111251420272,0.271523178807947,Low,Low Sugar,No
3327272107259,0.725,High,Moderate Sugar,No
6111035001383,0.271523178807947,Low,Low Sugar,No
3228857000166,0.1309523809523809,Moderate,Moderate Sugar,Yes
7622201133337,0.6954102920723227,Moderate,High Sugar,Yes
5010044000701,0.056701030927835,Low,Low Sugar,Yes
5016084000374,0.0526315789473684,High,Low Sugar,No
8434165466333,0.145,High,Moderate Sugar,Yes
6111259347021,0.5606060606060606,High,High Sugar,Yes
6111184000657,0.0033112582781456,High,Low Sugar,Yes
6111259093140,0.271523178807947,Moderate,Low Sugar,Yes
3229820787015,0.3125,Low,Low Sugar,Yes
8410376026962,0.360655737704918,High,High Sugar,Yes
8410376009415,0.0079365079365079,High,Low Sugar,Yes
6111162000723,0.0608669833729216,Moderate,Low Sugar,No
3155251205302,0.0,High,Low Sugar,Yes
8719200012608,1.0,High,Low Sugar,Yes
5411188116592,0.7037037037037036,Low,Low Sugar,Yes
6111175000741,0.271523178807947,Moderate,Low Sugar,Yes
6111242102019,0.3888888888888889,Low,Moderate Sugar,Yes
6111180007339,1.0011627906976743,High,High Sugar,Yes
3366321051983,0.0,High,Low Sugar,Yes
8410076601131,0.416796267496112,Moderate,Moderate Sugar,Yes
90338243,1.0,Low,Moderate Sugar,Yes
5060337220415,0.5833333333333334,Moderate,Moderate Sugar,No
6111032002925,1.0,Low,Moderate Sugar,Yes
5025125000105,0.0382978723404255,Moderate,Low Sugar,No
6111242380219,0.8947368421052632,High,High Sugar,Yes
3175680011534,0.3230769230769231,High,High Sugar,Yes
5411188119098,0.9166666666666669,Low,Low Sugar,Yes
3229820782560,0.2166666666666666,High,Moderate Sugar,No
4014400400007,0.8285229202037351,High,High Sugar,Yes
680569854124,0.2318840579710145,Moderate,Low Sugar,Yes
6111028000980,0.5714285714285714,Moderate,Low Sugar,Yes
8410076601148,0.4357723577235772,High,High Sugar,Yes
4088600327587,0.0332594235033259,Moderate,Low Sugar,Yes
3504182960123,0.271523178807947,Moderate,Low Sugar,No
3175681105423,0.0,High,Low Sugar,Yes
8720182460721,0.7407407407407407,Moderate,Low Sugar,No
5036589255598,1.0,Low,Low Sugar,No
5201054017418,1.0,Low,Low Sugar,No
5060228323799,0.0571428571428571,Moderate,Low Sugar,Yes
6111266960336,0.0,Moderate,Low Sugar,Yes
3159470000120,0.0952380952380952,High,Moderate Sugar,No
5410126716016,0.5247933884297521,High,High Sugar,No
5059697710001,0.9281767955801103,High,High Sugar,No
3392460480827,0.0507462686567164,High,Low Sugar,Yes
3175680011442,0.2727272727272727,High,High Sugar,Yes
5000168198491,0.2374213836477987,High,High Sugar,Yes
16811207,0.4333333333333333,High,High Sugar,Yes
1318180,0.1228070175438596,Moderate,Low Sugar,Yes
3229820021027,0.2857142857142857,High,High Sugar,Yes
3068320120256,0.0,Low,Low Sugar,No
7394376616501,0.4788732394366197,Low,Low Sugar,No
3046920029674,0.96,High,High Sugar,Yes
6111099000247,0.0,High,Low Sugar,Yes
3017620421006,0.9791304347826086,High,High Sugar,Yes
8076800195057,0.0492957746478873,High,Low Sugar,No
3046920010047,0.7083333333333334,Moderate,Low Sugar,No
4006985906203,0.0818181818181818,High,Low Sugar,No
3124480191182,1.0,Low,Moderate Sugar,Yes
5053990161669,0.0618181818181818,Moderate,Low Sugar,Yes
6111242107380,0.4230769230769231,Low,Moderate Sugar,Yes
3228857001378,0.2062084257206208,High,Moderate Sugar,Yes
6111032006749,1.0,Moderate,High Sugar,Yes
6111252422008,0.271523178807947,Moderate,Low Sugar,No
6111262821150,0.1108870967741935,High,Low Sugar,Yes
3664346312936,0.9833333333333332,High,High Sugar,Yes
5057967395071,0.0622119815668202,Moderate,Low Sugar,No
6111032010135,0.0,Low,Low Sugar,Yes
8715700407760,0.9802371541501976,Moderate,High Sugar,No
4056489141877,0.0,High,Low Sugar,No
5449000015105,1.0,Low,Moderate Sugar,Yes
6111250474191,0.0,Low,Low Sugar,No
3302740087059,0.0454545454545454,Moderate,Low Sugar,Yes
3760049794298,0.1217391304347826,High,Moderate Sugar,Yes
8410111211202,0.0,Moderate,Low Sugar,Yes
3168930009078,0.0183333333333333,High,Low Sugar,No
3017760542890,0.0366197183098591,High,Low Sugar,Yes
3272770098090,1.0,Moderate,Low Sugar,Yes
3168930163480,0.9428571428571428,Low,Low Sugar,No
6111180007650,0.0,High,Low Sugar,No
4056489216162,0.7692307692307692,Low,Low Sugar,Yes
5053990167807,0.0259259259259259,High,Low Sugar,Yes
5060198641251,0.0212765957446808,High,Low Sugar,No
5013665115373,0.0705882352941176,High,Low Sugar,Yes
6111184004716,0.3919191919191919,Moderate,Low Sugar,Yes
6111025120605,0.9464285714285714,High,High Sugar,Yes
3229820181950,0.4477611940298507,High,High Sugar,Yes
5053990107339,0.0249999999999999,High,Low Sugar,Yes
6111024002186,0.0,High,Low Sugar,Yes
5010477348357,0.3103448275862069,High,High Sugar,Yes
4008713756661,0.011864406779661,High,Low Sugar,No
6111021026000,0.375,Moderate,Moderate Sugar,No
8712100338694,0.005813953488372,High,Low Sugar,No
4056489039518,0.0636363636363636,High,Low Sugar,Yes
6111017007013,1.0,High,High Sugar,Yes
7613035530799,0.271523178807947,Moderate,Low Sugar,Yes
3083681095296,0.9649122807017544,Low,Moderate Sugar,No
4088600060880,0.673913043478261,Moderate,Low Sugar,No
6111032004455,0.7210856819049161,Low,Moderate Sugar,Yes
6111032006718,0.271523178807947,Moderate,Low Sugar,Yes
6111162001164,0.0668514593184412,Moderate,Low Sugar,No
5014213711290,0.33125,High,Moderate Sugar,No
5000165024014,1.0,High,Low Sugar,No
5060092690331,1.0,High,Low Sugar,No
5051399182506,0.0789473684210526,Moderate,Low Sugar,No
8410510012202,0.7058823529411765,High,Moderate Sugar,Yes
3067140013120,0.271523178807947,Moderate,Low Sugar,No
20150907,0.903846153846154,High,High Sugar,No
6111184000701,0.0,Moderate,Low Sugar,No
6111243860376,0.9926470588235294,Low,Moderate Sugar,Yes
3021769505602,0.8461538461538461,Low,Moderate Sugar,Yes
7613032655495,1.0,Moderate,Moderate Sugar,Yes
3046920016377,0.0,High,Low Sugar,No
6111162000181,1.0,Moderate,Low Sugar,No
7622210995087,0.9302325581395348,High,High Sugar,Yes
5018357012497,0.2204968944099378,High,Moderate Sugar,No
6111021090056,0.379746835443038,Moderate,Moderate Sugar,Yes
8402001010873,0.0615384615384615,High,Low Sugar,Yes
6111266962576,0.4381443298969072,Moderate,Moderate Sugar,Yes
3033710065783,0.9346590909090908,High,High Sugar,Yes
5000111046244,0.8333333333333333,Low,Low Sugar,Yes
5060198640261,0.0373333333333333,High,Low Sugar,No
3228857000852,0.1458333333333333,Moderate,Moderate Sugar,Yes
3760049790252,0.0717948717948717,Moderate,Low Sugar,Yes
6111032010128,0.0,Low,Low Sugar,Yes
6111032002208,1.0,Moderate,Moderate Sugar,Yes
6111242882263,0.8541666666666666,Low,Low Sugar,Yes
3366321051686,0.0,High,Low Sugar,Yes
5010044000404,0.0666666666666666,Low,Low Sugar,Yes
5018095011271,0.0526315789473684,Moderate,Low Sugar,No
7613287194374,0.0101892285298398,High,Low Sugar,No
20000653,1.0,Low,Moderate Sugar,Yes
3242274030056,0.2411764705882352,Moderate,Low Sugar,Yes
3329757002998,0.0,Low,Low Sugar,Yes
8000500082379,0.9791304347826086,High,High Sugar,Yes
5000246728749,1.0,High,Low Sugar,Yes
6111035002359,0.0,Low,Low Sugar,No
5060088707685,0.875,High,High Sugar,Yes
5000129341041,0.0697674418604651,Moderate,Low Sugar,No
6111031005033,0.734375,High,High Sugar,Yes
3175681209282,0.1369230769230769,High,Moderate Sugar,Yes
5000119117359,0.0647058823529411,High,Low Sugar,No
5070000126579,0.1912350597609561,High,Moderate Sugar,Yes
5449000135544,0.0,Low,Low Sugar,Yes
5060088700112,0.7730061349693251,High,High Sugar,Yes
8719200269828,1.0,High,Low Sugar,Yes
3330720237361,0.9821428571428572,High,High Sugar,Yes
8480000142139,0.2950819672131147,High,High Sugar,Yes
5000184321064,0.9285714285714288,High,Low Sugar,Yes
7622210476296,0.3561643835616438,Low,Low Sugar,Yes
3251490307002,0.2985074626865671,High,High Sugar,Yes
3178530410105,0.4259259259259259,High,High Sugar,Yes
8436547770137,0.4509803921568627,Low,Low Sugar,No
5000157062673,0.7083333333333333,Low,Moderate Sugar,Yes
6111128000217,1.0,Low,Low Sugar,Yes
3176582033563,0.1,Moderate,Low Sugar,No
3254380008430,0.271523178807947,Moderate,Low Sugar,No
5060042641406,0.0490196078431372,High,Low Sugar,Yes
6111018903185,1.0,Low,Low Sugar,No
5000157143037,0.5,High,Low Sugar,No
3229820769165,0.147457627118644,High,Moderate Sugar,Yes
9111445000430,0.271523178807947,Moderate,Low Sugar,No
6111162000822,1.0,Moderate,High Sugar,Yes
7613036249928,0.271523178807947,Moderate,Low Sugar,Yes
87157277,0.9827586206896552,Moderate,High Sugar,No
5285000396437,0.0806451612903225,High,Moderate Sugar,Yes
8410376037784,0.0746268656716417,High,Moderate Sugar,Yes
8410109121551,0.0429447852760736,High,Low Sugar,Yes
6111259733749,0.271523178807947,Moderate,Low Sugar,Yes
80761761,0.8283018867924528,High,High Sugar,Yes
6410500090014,0.0262295081967213,High,Low Sugar,No
7622210204424,0.4507042253521127,High,High Sugar,Yes
5036589200970,1.0,Moderate,Low Sugar,No
10001295,0.2615384615384615,High,High Sugar,Yes
8410076470812,0.046594982078853,Moderate,Low Sugar,Yes
5411188118121,0.0,Low,Low Sugar,Yes
3033710065967,0.9518377693282636,High,High Sugar,Yes
3161711001971,0.125,High,Low Sugar,No
3272770097642,1.0,Moderate,Low Sugar,Yes
5053990155354,0.0482142857142857,High,Low Sugar,Yes
7622201809638,0.5647058823529412,Moderate,Moderate Sugar,Yes
4056489028109,0.962025316455696,Low,Moderate Sugar,No
5000436857112,0.1219512195121951,Moderate,Low Sugar,Yes
5060283762199,0.0163934426229508,High,Low Sugar,No
6111021090100,0.379746835443038,Moderate,Moderate Sugar,No
3228021170039,0.0,Moderate,Low Sugar,No
5010029226188,0.2769230769230769,High,High Sugar,No
8052575090292,0.9636363636363636,High,High Sugar,Yes
5010029229035,0.2428571428571428,Moderate,Moderate Sugar,Yes
6111099000582,0.0,High,Low Sugar,No
6111101001361,0.9,Low,Low Sugar,Yes
3182180001477,0.0249999999999999,High,Low Sugar,Yes
8445290133403,0.9518377693282636,High,High Sugar,Yes
5010044002552,0.0654911838790932,Moderate,Low Sugar,Yes
5000436589457,1.0,Low,Low Sugar,Yes
6111242070783,0.271523178807947,Moderate,Low Sugar,Yes
6923818881323,0.6076923076923078,High,High Sugar,Yes
3608580124108,0.6666666666666666,High,Moderate Sugar,Yes
3175681066632,0.2424242424242424,High,High Sugar,Yes
5053990127726,0.0249999999999999,High,Low Sugar,Yes
5000295008069,1.0,High,Low Sugar,Yes
5010265002836,0.0416666666666666,Low,Low Sugar,No
5060337221085,0.8409090909090908,Low,Low Sugar,No
5060088706534,0.8511383537653241,Moderate,High Sugar,Yes
5201054017531,1.0,Low,Low Sugar,No
5740900404540,1.0,High,Low Sugar,No
3228857002344,0.0837209302325581,Moderate,Low Sugar,Yes
6111031005538,0.6909090909090909,High,High Sugar,Yes
8480000168832,0.45,High,Moderate Sugar,No
5449000008046,1.0,Moderate,High Sugar,Yes
3045320094084,1.0,Moderate,High Sugar,Yes
7613036669146,0.3112033195020747,High,High Sugar,Yes
3608580065371,0.9622641509433962,High,High Sugar,Yes
6111032002888,0.6122448979591837,Low,Moderate Sugar,Yes
5010003000339,0.1059602649006622,Low,Low Sugar,Yes
6111005054081,0.0,Low,Low Sugar,Yes
3302740087042,0.0454545454545454,Moderate,Low Sugar,Yes
7622210713889,0.417910447761194,High,High Sugar,Yes
5010092093441,0.0833333333333333,Low,Low Sugar,Yes
